baseline,producers,workers,latency_ns,wall_time_ns,avg_IOs,data_IO_time_ns,hit_ratio,index_time_ns,cache_time_ns
FALCON,1,16,54317.781579,54318078696,836369,547567292861,0.147319,6305838176,549721935137
FALCON,2,16,62122.181735,31095517639,760245,424643812150,0.217050,8159808224,426140919879
FALCON,4,16,72978.848107,18284360323,666477,287777601046,0.303509,8324898192,288985662962
FALCON,8,16,87535.095799,10995381726,550821,173425915652,0.412098,7696870080,174196871580
FALCON,16,16,90351.411333,5666965007,465066,89031781660,0.494237,7812883408,89527176040
FALCON,32,16,130515.898929,4106206497,411812,64199398570,0.547368,8892191120,64579818613
FALCON,64,16,186883.528847,2939930443,380768,45663558208,0.580873,10594537312,45985314729
FALCON,128,16,284530.172455,2241206719,362341,34244627042,0.603642,33435273280,34569043560
FALCON,1,32,50973.004185,50973262787,942658,923909136830,0.051221,9616020064,926863154667
FALCON,2,32,61837.691665,31013877338,866930,751483880906,0.119647,12370674080,753589382139
FALCON,4,32,78004.155350,19542937577,791574,612705376439,0.187977,15282151328,614303473184
FALCON,8,32,93128.469002,11648360466,666963,369502554261,0.303131,15058453760,370487905037
FALCON,16,32,112041.708818,7010946442,551275,221846216424,0.411601,13580088576,222593385924
FALCON,32,32,139384.536885,4368931912,464599,137855349309,0.494739,13655734528,138408726363
FALCON,64,32,208005.983360,3258698255,411623,102426453448,0.547462,16700711072,102915816317
FALCON,128,32,323704.793296,2542978807,381533,79368876832,0.580183,46147540896,79802250091
FALCON,1,64,54020.446094,54020677749,999985,1576607719945,0.000013,17040679808,1580379829062
FALCON,2,64,72542.633258,36272114576,946292,1405172970924,0.047981,27062336320,1408093521520
FALCON,4,64,106002.501891,26515029149,900689,1525442711340,0.089017,26860919168,1527923247582
FALCON,8,64,143264.261657,17916776626,788599,1134967084784,0.190671,30264032128,1136403260072
FALCON,16,64,164836.673316,10308651522,665015,655672527140,0.304840,29141983232,656732031301
FALCON,32,64,204924.034610,6412344776,549836,407389017892,0.412827,28672840768,408204237490
FALCON,64,64,265590.825871,4160169915,463404,263169062321,0.496019,44589107520,263840557057
FALCON,128,64,400413.739142,3149746159,415789,198309279254,0.543959,222082169344,198876007987
FALCON,1,128,45263.268098,45263404282,1000000,1761043047145,0.000000,22248396800,1763035342300
FALCON,2,128,88385.057046,44195899989,999999,3031587418445,0.000001,43004915072,3035448883598
FALCON,4,128,159515.486792,39879868581,975810,3694801861825,0.021513,35917560832,3697787241278
FALCON,8,128,255147.198464,31900953179,900881,3776492306731,0.088622,47223639168,3778856136333
FALCON,16,128,341911.212393,21376892920,786967,2707006714158,0.192173,65625698560,2708808639996
